test,cost,coverage,pastFaults,newFaults
1167,0.0,0,0,0
542,1853500.0,18,0,0
149,3981200.0,70,0,0
1133,3981200.0,70,0,0
1187,3981200.0,70,0,0
1104,3981200.0,70,0,0
1103,3981200.0,70,0,0
1088,3981200.0,70,0,0
132,5845100.0,92,0,0
83,7952900.0,137,1,1
708,9810800.0,151,1,1
397,1.19118E7,164,1,1
803,1.37618E7,180,1,1
1105,1.37618E7,180,1,1
748,1.56551E7,194,1,1
691,1.75096E7,206,1,1
1092,1.75096E7,206,1,1
142,1.93993E7,213,1,1
967,2.12607E7,228,1,1
304,2.31213E7,239,1,3
564,2.50121E7,261,1,3
1033,2.68481E7,263,1,3
110,2.86857E7,268,1,4
131,3.0548E7,273,1,4
50,3.2389E7,281,1,4
864,3.42661E7,288,1,4
1160,3.42661E7,288,1,4
1158,3.42661E7,288,1,4
652,3.61188E7,293,1,4
156,3.79799E7,303,1,4
1148,3.79799E7,303,1,4
169,3.98187E7,305,1,4
177,4.16806E7,312,1,4
166,4.35348E7,314,1,4
299,4.53925E7,315,1,4
295,4.73003E7,322,1,4
373,4.91479E7,330,1,4
1025,5.09864E7,333,1,4
172,5.28346E7,335,1,4
27,5.46731E7,338,1,4
130,5.65379E7,341,1,4
1142,5.65379E7,341,1,4
151,5.83746E7,345,1,4
145,6.03056E7,346,1,4
140,6.21434E7,352,1,4
1184,6.21434E7,352,1,4
767,6.50656E7,366,1,4
1168,6.50656E7,366,1,4
588,6.69275E7,370,1,4
1147,6.69275E7,370,1,4
859,6.87743E7,371,1,4
85,7.0848E7,374,2,4
990,7.28233E7,381,2,4
1139,7.28233E7,381,2,4
659,7.46963E7,389,2,4
1064,7.46963E7,389,2,4
385,7.65452E7,390,2,4
377,7.8382E7,392,2,4
1079,7.8382E7,392,2,4
1164,7.8382E7,392,2,4
1047,8.02586E7,397,2,4
1098,8.02586E7,397,2,4
61,8.20956E7,401,2,4
538,8.39422E7,408,2,4
687,8.57905E7,418,2,4
129,8.76371E7,419,2,4
1180,8.76371E7,419,2,4
1193,8.76371E7,419,2,4
702,8.95048E7,425,2,4
391,9.13601E7,426,2,4
88,9.33625E7,428,2,4
1021,9.46032E7,429,2,4
821,9.6478E7,431,2,4
663,9.83361E7,434,2,4
1134,9.83361E7,434,2,4
135,1.001973E8,439,2,4
146,1.023082E8,441,2,4
1082,1.023082E8,441,2,4
1094,1.023082E8,441,2,4
808,1.041572E8,444,2,4
763,1.060081E8,448,2,4
447,1.07855E8,455,2,4
624,1.097067E8,458,2,4
1140,1.097067E8,458,2,4
1124,1.097067E8,458,2,4
984,1.115511E8,460,2,4
90,1.13545E8,467,2,4
1008,1.153992E8,470,2,4
276,1.172374E8,472,2,4
1145,1.172374E8,472,2,4
277,1.190737E8,473,2,4
137,1.209218E8,475,2,4
620,1.227796E8,477,2,4
79,1.246174E8,481,2,4
1091,1.246174E8,481,2,4
178,1.264645E8,483,2,4
1029,1.28304E8,486,2,4
1052,1.30143E8,487,2,4
1153,1.30143E8,487,2,4
408,1.322477E8,490,2,4
562,1.340903E8,496,2,4
858,1.359361E8,497,2,4
173,1.37789E8,498,2,4
278,1.396273E8,499,2,4
942,1.41476E8,500,2,4
1162,1.41476E8,500,2,4
1026,1.433145E8,501,2,4
21,1.451524E8,504,3,4
716,1.470082E8,510,3,4
561,1.488544E8,515,3,4
1111,1.488544E8,515,3,4
884,1.506977E8,516,3,4
70,1.525349E8,520,3,4
384,1.544039E8,522,3,4
921,1.56249E8,524,3,4
885,1.580968E8,526,3,4
1027,1.599357E8,527,3,4
446,1.617826E8,529,3,4
857,1.636243E8,531,3,4
1189,1.636243E8,531,3,4
1070,1.636243E8,531,3,4
92,1.656758E8,532,3,4
179,1.675181E8,534,3,4
968,1.693704E8,536,3,4
924,1.712155E8,538,3,4
637,1.730621E8,542,3,4
54,1.748997E8,544,3,4
271,1.767588E8,545,3,4
1129,1.767588E8,545,3,4
462,1.786052E8,549,3,4
69,1.804422E8,551,3,4
374,1.823133E8,555,3,4
536,1.841695E8,558,3,4
1178,1.841695E8,558,3,4
913,1.860186E8,560,3,4
925,1.878627E8,561,3,4
971,1.89715E8,562,3,4
168,1.9157E8,563,3,4
301,1.934306E8,565,3,4
86,1.954712E8,567,3,4
1165,1.954712E8,567,3,4
219,1.973167E8,568,3,4
1109,1.973167E8,568,3,4
1090,1.973167E8,568,3,4
91,1.993139E8,569,3,4
972,2.011662E8,571,3,4
1132,2.011662E8,571,3,4
167,2.030145E8,572,3,4
350,2.048567E8,573,3,4
1199,2.048567E8,573,3,4
34,2.066949E8,575,3,4
544,2.086282E8,579,3,4
881,2.104736E8,581,3,4
861,2.128076E8,583,3,4
576,2.146474E8,585,3,4
1043,2.165058E8,587,3,4
387,2.183422E8,588,3,4
1010,2.201842E8,589,3,4
867,2.220229E8,590,3,4
82,2.238612E8,591,3,4
951,2.257063E8,593,3,4
1150,2.257063E8,593,3,4
986,2.276817E8,594,3,4
977,2.295271E8,597,3,4
759,2.313826E8,599,3,4
928,2.332277E8,601,3,4
321,2.350854E8,601,3,4
