test,cost,coverage,pastFaults,newFaults
563,1841700.0,20,1,0
303,3709000.0,33,1,2
1140,3709000.0,33,1,2
1183,3709000.0,33,1,2
1182,3709000.0,33,1,2
1194,3709000.0,33,1,2
1105,3709000.0,33,1,2
1160,3709000.0,33,1,2
1090,3709000.0,33,1,2
1097,3709000.0,33,1,2
1084,3709000.0,33,1,2
1120,3709000.0,33,1,2
1193,3709000.0,33,1,2
1078,3709000.0,33,1,2
85,5782700.0,66,3,3
148,7892400.0,107,3,3
1125,7892400.0,107,3,3
1148,7892400.0,107,3,3
1095,7892400.0,107,3,3
1155,7892400.0,107,3,3
1146,7892400.0,107,3,3
1197,7892400.0,107,3,3
1158,7892400.0,107,3,3
1118,7892400.0,107,3,3
1119,7892400.0,107,3,3
1189,7892400.0,107,3,3
1137,7892400.0,107,3,3
90,9886300.0,117,3,3
767,1.28085E7,156,3,3
1139,1.28085E7,156,3,3
1172,1.28085E7,156,3,3
1159,1.28085E7,156,3,3
1091,1.28085E7,156,3,3
1173,1.28085E7,156,3,3
88,1.48109E7,162,3,3
707,1.6672E7,173,3,3
1156,1.6672E7,173,3,3
1130,1.6672E7,173,3,3
1144,1.6672E7,173,3,3
1170,1.6672E7,173,3,3
1175,1.6672E7,173,3,3
145,1.8603E7,181,3,3
583,2.04568E7,192,3,3
87,2.25384E7,198,3,3
177,2.44003E7,207,3,3
1099,2.44003E7,207,3,3
1162,2.44003E7,207,3,3
19,2.62381E7,209,3,3
149,2.83658E7,215,3,3
1109,2.83658E7,215,3,3
1096,2.83658E7,215,3,3
84,3.02744E7,222,3,3
1024,3.21315E7,230,3,3
1133,3.21315E7,230,3,3
1135,3.21315E7,230,3,3
1111,3.21315E7,230,3,3
1199,3.21315E7,230,3,3
1131,3.21315E7,230,3,3
1143,3.21315E7,230,3,3
1145,3.21315E7,230,3,3
1068,3.21315E7,230,3,3
1124,3.21315E7,230,3,3
1154,3.21315E7,230,3,3
1129,3.21315E7,230,3,3
1181,3.21315E7,230,3,3
1064,3.21315E7,230,3,3
780,3.39733E7,230,3,3
1083,3.39733E7,230,3,3
1179,3.39733E7,230,3,3
1195,3.39733E7,230,3,3
1062,3.39733E7,230,3,3
92,3.60248E7,232,3,3
541,3.78979E7,238,3,3
1152,3.78979E7,238,3,3
876,3.97493E7,252,4,3
966,4.16067E7,263,4,4
86,4.36473E7,265,4,4
811,4.54969E7,274,4,4
1088,4.54969E7,274,4,4
1100,4.54969E7,274,4,4
