test,cost,coverage,pastFaults, newFaults
67,30052.0,76,10,9
555,312042.0,168,10,10
534,312200.0,172,10,10
41,325047.0,174,10,11
550,339541.0,184,10,11
438,370257.0,193,15,12
565,406022.0,195,15,12
21,412896.0,196,15,12
71,426143.0,197,15,12
548,439073.0,203,15,12
20,461832.0,207,15,12
11,461936.0,208,15,12
318,473198.0,210,15,12
19,488783.0,211,15,12
557,489157.0,219,15,12
13,506295.0,223,15,12
566,527163.0,228,15,13
2,527302.0,230,15,14
174,848562.0,240,15,14
22,927245.0,244,15,14
558,927607.0,245,15,14
553,927755.0,247,15,14
164,1430015.0,250,16,14
486,1443255.0,250,16,14
241,1456486.0,250,16,14
536,1456668.0,252,16,14
33,1504360.0,256,16,14
529,1504360.0,256,16,14
564,1706390.0,261,16,14
552,1706538.0,262,16,14
81,1719777.0,262,16,14
34,1732469.0,264,16,14
16,1732610.0,265,16,14
31,1749407.0,265,16,14
331,1762628.0,265,16,14
354,2791128.0,273,16,14
137,2818433.0,273,16,14
518,2850560.0,273,16,14
560,3122170.0,277,16,14
456,3135410.0,277,16,14
150,3172521.0,277,16,14
333,3206432.0,277,16,14
222,3233728.0,277,16,14
551,3233902.0,278,16,14
537,3234080.0,279,16,14
280,3271191.0,279,16,14
398,3305113.0,279,16,14
115,3350078.0,279,16,14
350,3387170.0,279,16,14
35,3396940.0,279,16,14
383,3428316.0,279,16,14
106,3441572.0,279,16,14
432,3471587.0,279,16,14
556,3770337.0,280,16,14
76,3783593.0,280,16,14
533,3783593.0,280,16,14
92,3810897.0,280,16,14
196,3824153.0,280,16,14
546,3838907.0,280,16,14
15,3851090.0,280,16,14
37,3871086.0,280,16,14
293,3902473.0,280,16,14
128,3932123.0,280,16,14
545,4066693.0,281,16,14
416,4079162.0,281,16,14
281,4092298.0,281,16,14
385,4129409.0,281,16,14
316,4141110.0,281,16,14
347,4168415.0,281,16,14
211,4181646.0,281,16,14
530,4181646.0,281,16,14
562,4469116.0,282,16,14
328,4501293.0,282,16,14
56,4514536.0,282,16,14
4,4575218.0,283,16,14
386,4588354.0,283,16,14
315,4685750.0,285,16,14
116,4698998.0,285,16,14
261,4712125.0,285,16,14
396,4725357.0,285,16,14
417,4751987.0,285,16,14
172,4782018.0,285,16,14
231,4795145.0,285,16,14
467,4822450.0,285,16,14
6,4832308.0,285,16,14
356,4845556.0,285,16,14
118,4877733.0,285,16,14
40,4895935.0,285,16,14
526,4983594.0,286,16,14
528,7045094.0,287,16,14
522,7075053.0,287,16,14
357,7105089.0,287,16,14
487,7135117.0,287,16,14
538,7135317.0,288,16,14
507,7162614.0,288,16,14
243,7196535.0,288,16,14
51,7209042.0,288,16,14
238,7241219.0,288,16,14
39,7256803.0,288,16,14
250,7301743.0,288,16,14
152,7329040.0,288,16,14
207,7359076.0,288,16,14
503,7392971.0,288,16,14
413,7423684.0,288,16,14
352,7450962.0,288,16,14
302,7477622.0,288,16,14
501,7490827.0,288,16,14
411,7503281.0,288,16,14
60,7539755.0,288,16,14
561,7557055.0,288,16,14
248,7589224.0,288,16,14
147,7619252.0,288,16,14
278,7653182.0,288,16,14
135,7690301.0,288,16,14
257,7717606.0,288,16,14
277,7747634.0,288,16,14
540,7761613.0,289,16,14
253,7795526.0,289,16,14
421,7808761.0,289,16,14
161,7821223.0,289,16,14
112,7851250.0,289,16,14
542,7851380.0,290,16,14
296,7864623.0,290,16,14
215,7901750.0,290,16,14
146,7914990.0,290,16,14
198,7947175.0,290,16,14
360,7992113.0,290,16,14
375,8029232.0,290,16,14
171,8042475.0,290,16,14
266,8055681.0,290,16,14
240,8100629.0,290,16,14
270,8145535.0,290,16,14
136,8158679.0,290,16,14
455,8203636.0,290,16,14
541,8220778.0,291,16,14
272,8250755.0,291,16,14
443,8281486.0,291,16,14
329,8568616.0,291,16,14
247,8598644.0,291,16,14
25,8643609.0,291,16,14
226,8656753.0,291,16,14
291,8669881.0,291,16,14
138,8699523.0,291,16,14
178,8730281.0,291,16,14
189,9677581.0,293,16,14
