test,cost,coverage,pastFaults, newFaults
555,281990.0,150,9,7
54,1229330.0,182,13,10
564,1431360.0,197,13,11
164,1933620.0,200,14,11
203,1967549.0,210,15,11
22,2046232.0,216,15,11
16,2046373.0,218,15,11
565,2082138.0,220,15,11
318,2093400.0,222,16,11
528,4154900.0,226,16,11
20,4177659.0,229,16,11
13,4194797.0,233,16,11
38,4283217.0,239,16,12
548,4296147.0,245,16,12
546,4310901.0,247,16,12
557,4311275.0,255,16,12
560,4582885.0,260,16,12
566,4603753.0,262,16,12
191,4616243.0,264,16,12
562,4903713.0,265,16,12
551,4903887.0,266,16,12
5,4920239.0,268,16,12
315,5017635.0,269,16,12
4,5078317.0,271,16,12
556,5377067.0,272,16,12
99,6408467.0,275,16,12
21,6415341.0,276,16,12
59,6736601.0,278,16,12
526,6824260.0,279,16,12
549,6838752.0,280,16,12
2,6838891.0,281,16,13
11,6838995.0,282,16,13
19,6854580.0,283,16,13
541,6871722.0,284,16,13
540,6885701.0,285,16,13
534,6885859.0,286,16,13
536,6886041.0,287,16,13
537,6886219.0,288,16,13
538,6886419.0,289,16,13
542,6886549.0,290,16,13
552,6886697.0,291,16,13
553,6886845.0,292,16,13
558,6887207.0,293,16,13
555,6887207.0,293,16,13
54,6887207.0,293,16,13
564,6887207.0,293,16,13
164,6887207.0,293,16,13
203,6887207.0,293,16,13
22,6887207.0,293,16,13
16,6887207.0,293,16,13
565,6887207.0,293,16,13
318,6887207.0,293,16,13
528,6887207.0,293,16,13
20,6887207.0,293,16,13
13,6887207.0,293,16,13
38,6887207.0,293,16,13
548,6887207.0,293,16,13
546,6887207.0,293,16,13
557,6887207.0,293,16,13
560,6887207.0,293,16,13
566,6887207.0,293,16,13
191,6887207.0,293,16,13
562,6887207.0,293,16,13
551,6887207.0,293,16,13
5,6887207.0,293,16,13
315,6887207.0,293,16,13
4,6887207.0,293,16,13
556,6887207.0,293,16,13
99,6887207.0,293,16,13
21,6887207.0,293,16,13
59,6887207.0,293,16,13
526,6887207.0,293,16,13
549,6887207.0,293,16,13
2,6887207.0,293,16,13
11,6887207.0,293,16,13
19,6887207.0,293,16,13
541,6887207.0,293,16,13
540,6887207.0,293,16,13
534,6887207.0,293,16,13
536,6887207.0,293,16,13
