test,cost,coverage,pastFaults,newFaults
315,97396.0,110,10,7
533,97396.0,110,11,9
2,97535.0,112,11,10
442,124168.0,122,15,10
553,124316.0,126,15,10
193,155065.0,137,15,13
557,155439.0,149,15,13
537,155617.0,150,15,13
199,444087.0,172,15,13
550,458581.0,187,15,13
56,471824.0,189,15,13
30,485956.0,189,15,13
66,499220.0,189,15,13
540,513199.0,190,15,13
86,526359.0,190,15,13
61,538858.0,190,15,13
317,550808.0,190,15,13
535,550980.0,190,15,13
13,568118.0,194,15,13
530,568118.0,194,15,13
331,581339.0,194,15,13
416,593808.0,194,16,13
421,607043.0,194,16,13
256,620187.0,194,16,13
196,633443.0,194,16,13
536,633625.0,196,16,13
565,669390.0,199,16,13
71,682637.0,199,16,13
146,695877.0,199,16,13
366,709117.0,199,16,13
346,722261.0,199,16,13
296,735504.0,199,16,13
543,749502.0,199,16,13
211,762733.0,199,16,13
451,775954.0,199,16,13
529,775954.0,199,16,13
358,808131.0,202,16,13
32,823700.0,202,16,13
351,836817.0,202,16,13
386,849953.0,202,16,13
446,863201.0,202,16,13
538,863401.0,204,16,13
318,874663.0,206,16,13
106,887919.0,206,16,13
341,901044.0,206,16,13
316,912745.0,206,16,13
321,925974.0,206,16,13
291,939102.0,206,16,13
111,952341.0,206,16,13
486,965581.0,206,16,13
551,965755.0,207,16,13
194,1913085.0,216,16,13
151,1926221.0,216,16,13
246,1939461.0,216,16,13
87,1966782.0,216,16,13
431,1980009.0,216,16,13
516,1993207.0,216,16,13
136,2006351.0,216,16,13
549,2020843.0,216,16,13
527,2035337.0,217,16,13
501,2048542.0,217,16,13
171,2061785.0,217,16,13
121,2075016.0,217,16,13
241,2088247.0,217,16,13
166,2100734.0,217,16,13
476,2113870.0,217,16,13
301,2126369.0,217,16,13
51,2138876.0,217,16,13
361,2152097.0,217,16,13
281,2165233.0,217,16,13
161,2177695.0,217,16,13
41,2190542.0,217,16,13
411,2202996.0,217,16,13
453,2236907.0,217,16,13
552,2237055.0,218,16,13
566,2257923.0,225,16,13
511,2271032.0,225,16,13
266,2284238.0,225,16,13
226,2297382.0,225,16,13
391,2310491.0,225,16,13
207,2340527.0,225,16,13
35,2350297.0,225,16,13
53,2381063.0,225,16,13
24,2464218.0,230,16,13
21,2471092.0,231,16,13
263,2502478.0,231,16,13
236,2515726.0,231,16,13
336,2528878.0,231,16,13
216,2542030.0,231,16,13
26,2555278.0,231,16,13
92,2582582.0,231,16,13
286,2595814.0,231,16,13
201,2609053.0,231,16,13
356,2622301.0,231,16,13
14,2639836.0,231,16,13
517,2669822.0,231,16,13
16,2669963.0,232,16,13
19,2685548.0,234,16,13
116,2698796.0,234,16,13
322,2728813.0,234,16,13
406,2742037.0,234,16,13
426,2754528.0,234,16,13
31,2771325.0,234,16,13
491,2784538.0,234,16,13
176,2797037.0,234,16,13
534,2797195.0,235,16,13
555,3079185.0,254,16,14
0,3079358.0,254,16,14
9,3150894.0,255,16,14
5,3167246.0,256,16,14
542,3167376.0,257,16,14
564,3369406.0,263,16,14
185,3405846.0,263,16,14
297,3435877.0,263,16,14
471,3448994.0,263,16,14
