test,cost,coverage,pastFaults, newFaults
705,391.0,21,1,0
675,679.0,22,1,0
710,967.0,34,1,0
627,997.0,39,1,0
671,1359.0,41,1,0
434,4636.0,79,4,0
54,13383.0,130,4,0
798,13438.0,136,4,0
268,16296.0,142,4,1
70,21275.0,152,6,1
545,31121.0,165,6,2
803,114778.0,205,6,2
262,116057.0,208,6,2
383,119343.0,215,6,2
495,121880.0,216,6,2
648,171087.0,230,6,2
697,171340.0,231,6,2
35,178982.0,236,6,2
730,182059.0,237,6,2
323,192000.0,245,6,2
590,229492.0,251,6,2
196,232763.0,254,6,2
34,243179.0,256,6,2
279,248050.0,257,6,2
75,259191.0,258,6,2
714,259457.0,261,6,2
626,259487.0,262,6,2
481,339505.0,269,6,2
381,339809.0,271,6,2
39,348095.0,271,6,2
86,357095.0,271,6,2
636,357119.0,274,7,2
628,357149.0,276,7,2
404,360425.0,276,7,2
603,365832.0,277,7,3
620,365858.0,277,7,3
790,598508.0,286,7,3
169,601785.0,286,7,3
361,605084.0,286,7,3
153,608348.0,286,7,3
300,616506.0,287,7,3
405,616803.0,287,7,3
742,616829.0,287,7,3
178,620113.0,287,7,3
415,623389.0,287,7,3
500,625926.0,288,7,3
780,685181.0,295,7,3
229,688453.0,295,7,3
5,843793.0,298,7,3
709,844056.0,298,7,3
543,853906.0,298,7,3
578,859317.0,299,7,3
55,866188.0,300,7,3
397,869464.0,300,7,3
624,869485.0,302,7,3
278,874348.0,302,7,3
395,877647.0,302,7,3
411,877944.0,302,7,3
484,1014844.0,311,7,3
224,1018116.0,311,7,3
57,1023293.0,311,7,3
163,1026570.0,311,7,3
104,1032114.0,311,7,3
731,1035672.0,312,7,3
222,1038944.0,312,7,3
740,1038970.0,312,7,3
507,1047230.0,312,7,3
199,1050514.0,312,7,3
482,1050538.0,313,7,3
722,1136551.0,317,7,3
559,1183926.0,320,7,4
517,1193773.0,320,7,4
228,1197058.0,320,7,4
491,1202958.0,321,7,4
712,1203221.0,321,7,4
37,1206903.0,321,7,4
645,1206922.0,321,7,4
631,1206946.0,321,7,4
28,1384036.0,322,7,4
264,1395108.0,322,7,4
62,1405508.0,322,7,4
751,1522668.0,325,7,4
189,1525939.0,325,7,4
369,1526243.0,325,7,4
655,1526522.0,325,7,4
787,1590335.0,326,7,4
25,1836785.0,330,7,4
488,1940575.0,331,7,4
623,1940596.0,332,7,4
617,2044176.0,334,7,4
536,2339526.0,336,7,4
263,2340865.0,336,7,4
406,2344141.0,336,7,4
190,2347425.0,336,7,4
273,2351099.0,336,8,4
729,2354165.0,336,8,4
193,2357449.0,336,8,4
152,2360713.0,336,8,4
693,2437507.0,337,8,4
314,2442422.0,337,8,4
408,2445685.0,337,8,4
650,2530846.0,339,8,4
332,2536390.0,339,8,4
597,2541798.0,339,8,4
331,2545588.0,340,8,4
248,2548718.0,340,8,4
694,2548971.0,340,8,4
336,2559462.0,340,8,4
441,2559772.0,340,8,4
791,2654022.0,341,8,4
184,2657306.0,341,8,4
806,2749789.0,342,8,4
325,2756674.0,342,8,4
83,2761600.0,342,8,4
211,2764884.0,342,8,4
399,2765181.0,342,8,4
141,2768458.0,342,8,4
172,2771735.0,342,8,4
386,2775034.0,342,8,4
198,2778318.0,342,8,4
188,2781589.0,342,8,4
516,2848884.0,344,8,4
259,2852001.0,344,8,4
347,2860671.0,345,8,4
366,2863970.0,345,8,4
116,2867683.0,345,8,4
236,2870955.0,345,8,4
700,2871208.0,345,8,4
24,3121038.0,348,8,4
380,3124337.0,348,8,4
432,3127600.0,348,8,4
377,3130886.0,348,8,4
258,3134158.0,348,8,4
514,3201452.0,349,8,4
191,3204736.0,349,8,4
622,3204755.0,349,8,4
260,3209524.0,349,8,4
515,3219371.0,349,8,4
419,3222647.0,349,8,4
168,3225911.0,349,8,4
376,3229210.0,349,8,4
51,3234170.0,349,8,4
77,3240912.0,349,8,4
568,3399292.0,351,8,4
455,3402400.0,351,8,4
765,3473854.0,352,8,4
80,3482186.0,352,8,4
343,3485895.0,352,8,4
633,3485919.0,352,8,4
110,3492562.0,352,8,4
638,3492581.0,352,8,4
553,3499157.0,352,8,4
555,3509008.0,352,8,4
625,3509038.0,353,8,4
549,3515618.0,353,8,4
145,3518882.0,353,8,4
143,3522159.0,353,8,4
330,3529285.0,353,8,4
450,3532549.0,353,8,4
795,4438469.0,357,8,4
227,4441754.0,357,8,4
452,4444875.0,357,8,4
303,4449908.0,357,8,4
396,4453207.0,357,8,4
654,4453542.0,357,8,4
748,4572392.0,358,8,4
699,4572645.0,358,8,4
138,4575909.0,358,8,4
688,4731269.0,359,8,4
389,4734555.0,359,8,4
644,4734581.0,359,8,4
165,4737858.0,359,8,4
704,4738151.0,359,8,4
73,4748919.0,359,8,4
634,4748938.0,359,8,4
148,4752215.0,359,8,4
388,4755514.0,359,8,4
216,4758785.0,359,8,4
126,4767378.0,359,8,4
270,4777621.0,359,8,4
101,4784753.0,359,8,4
715,4785020.0,359,8,4
443,4788284.0,359,8,4
425,4791560.0,359,8,4
11,4963590.0,360,8,4
737,5205440.0,361,8,4
359,5205459.0,361,8,4
115,5212492.0,361,8,4
351,5221065.0,361,8,4
379,5224364.0,361,8,4
171,5227641.0,361,8,4
183,5230925.0,361,8,4
630,6275325.0,362,8,4
701,6275578.0,362,8,4
467,6278842.0,362,8,4
606,6284249.0,362,8,4
60,6295085.0,362,8,4
149,6298362.0,362,8,4
217,6301633.0,362,8,4
