test,cost,coverage,pastFaults, newFaults
806,92483.0,131,4,0
788,601573.0,166,4,1
480,1343133.0,200,4,1
522,1653413.0,221,4,2
630,2697813.0,241,4,2
35,2705455.0,256,5,2
794,3526935.0,261,5,2
5,3682275.0,267,5,2
485,3851505.0,276,5,2
28,4028595.0,282,5,2
40,4037347.0,290,5,2
648,4086554.0,294,5,2
269,4096962.0,299,5,2
8,4274122.0,302,5,2
25,4520572.0,306,5,2
504,4653962.0,311,6,2
779,4705188.0,314,6,2
637,4705212.0,317,6,2
803,4788869.0,320,6,2
24,5038699.0,322,6,2
666,5126133.0,324,6,2
204,5129417.0,327,8,2
732,5691827.0,330,8,2
71,5696982.0,332,8,2
720,5782130.0,334,8,2
481,5862148.0,335,8,2
649,6090878.0,337,8,2
471,6769758.0,340,8,2
694,6770011.0,341,8,2
387,6770315.0,343,8,2
11,6942345.0,344,8,2
557,7274275.0,345,8,2
791,7368525.0,347,8,2
482,7368549.0,348,8,2
691,7522749.0,349,9,2
23,7769139.0,350,9,2
486,7936619.0,351,9,2
688,8091979.0,352,9,2
488,8195769.0,353,9,2
703,8196022.0,354,9,2
714,8196288.0,355,9,2
751,8313448.0,357,9,2
491,8319348.0,358,9,2
347,8328018.0,359,9,2
10,8499628.0,360,9,2
22,9149618.0,361,9,2
477,9375558.0,362,9,2
706,9375819.0,363,9,2
743,9529709.0,364,9,2
746,9683589.0,365,9,2
752,9838809.0,366,9,2
761,9992879.0,367,9,2
764,1.0146459E7,368,9,2
773,1.0300499E7,369,9,2
776,1.0454369E7,370,9,2
782,1.0608509E7,371,9,2
785,1.0762609E7,372,9,2
514,1.0829903E7,373,9,2
556,1.0877282E7,374,9,3
679,1.1117502E7,375,9,3
620,1.1117528E7,376,9,3
623,1.1117549E7,377,9,3
624,1.111757E7,378,9,3
625,1.11176E7,379,9,3
626,1.111763E7,380,9,3
627,1.111766E7,381,9,3
628,1.111769E7,382,9,3
806,1.111769E7,382,9,3
788,1.111769E7,382,9,3
480,1.111769E7,382,9,3
522,1.111769E7,382,9,3
630,1.111769E7,382,9,3
35,1.111769E7,382,9,3
794,1.111769E7,382,9,3
5,1.111769E7,382,9,3
485,1.111769E7,382,9,3
28,1.111769E7,382,9,3
40,1.111769E7,382,9,3
648,1.111769E7,382,9,3
269,1.111769E7,382,9,3
8,1.111769E7,382,9,3
25,1.111769E7,382,9,3
504,1.111769E7,382,9,3
779,1.111769E7,382,9,3
637,1.111769E7,382,9,3
803,1.111769E7,382,9,3
24,1.111769E7,382,9,3
666,1.111769E7,382,9,3
204,1.111769E7,382,9,3
732,1.111769E7,382,9,3
71,1.111769E7,382,9,3
720,1.111769E7,382,9,3
481,1.111769E7,382,9,3
649,1.111769E7,382,9,3
471,1.111769E7,382,9,3
694,1.111769E7,382,9,3
387,1.111769E7,382,9,3
11,1.111769E7,382,9,3
557,1.111769E7,382,9,3
791,1.111769E7,382,9,3
482,1.111769E7,382,9,3
