test,cost,coverage,pastFaults,newFaults
205,3284.0,52,7,0
680,243494.0,100,7,0
628,243524.0,106,7,0
75,254665.0,149,7,0
709,254928.0,154,7,0
387,255232.0,159,7,0
627,255262.0,160,7,0
388,258561.0,165,7,0
624,258582.0,168,7,0
210,261853.0,168,7,0
385,265152.0,168,7,0
790,497802.0,185,7,0
124,504419.0,186,7,0
696,504672.0,187,7,0
653,504959.0,187,7,0
183,508243.0,187,7,0
165,511520.0,187,7,0
590,549012.0,193,7,0
70,553991.0,197,7,0
68,562704.0,197,7,0
482,562728.0,198,7,0
341,571128.0,206,7,0
623,571149.0,208,7,0
270,581392.0,211,7,0
725,581714.0,211,7,0
393,582031.0,211,7,0
121,593216.0,211,7,0
598,628831.0,212,7,0
130,628855.0,213,7,1
116,632568.0,213,7,1
491,638468.0,214,7,1
253,641753.0,217,7,1
630,1686153.0,233,7,1
273,1689827.0,235,8,1
742,1689853.0,236,8,1
583,1698287.0,237,9,1
143,1701564.0,237,9,1
382,1704876.0,237,9,1
191,1708160.0,237,9,1
439,1711437.0,237,9,1
175,1714701.0,237,9,1
488,1818491.0,245,9,1
157,1821768.0,245,9,1
247,1825053.0,245,9,1
5,1980393.0,252,9,1
138,1983657.0,252,9,1
374,1986956.0,252,9,1
365,1990242.0,252,9,1
359,1990261.0,252,9,1
177,1993545.0,252,9,1
363,1993849.0,252,9,1
122,2004349.0,252,9,1
769,2092112.0,263,9,1
384,2095398.0,263,9,1
246,2098683.0,263,9,1
757,2174754.0,269,9,1
729,2177820.0,269,9,1
800,2177846.0,269,9,1
43,2183028.0,273,9,1
79,2188099.0,273,9,1
77,2194841.0,273,9,1
495,2197378.0,274,9,1
645,2197397.0,274,9,1
296,2204250.0,279,9,1
625,2204280.0,280,9,1
213,2207564.0,280,9,1
510,2327014.0,282,9,1
152,2330278.0,282,9,1
328,2338990.0,282,9,1
286,2347650.0,282,9,1
211,2350934.0,282,9,1
798,2350989.0,284,9,1
217,2354260.0,284,9,1
643,2438156.0,289,9,1
349,2445379.0,289,9,1
744,2562589.0,291,9,1
161,2565853.0,291,9,1
173,2569117.0,291,9,1
573,2614611.0,294,9,2
137,2617888.0,294,9,2
76,2628162.0,294,9,2
28,2805252.0,302,9,2
200,2808536.0,302,9,2
396,2811835.0,302,9,2
693,2888629.0,303,9,2
113,2897317.0,303,9,2
613,2995466.0,307,9,2
162,2998743.0,307,9,2
481,3078761.0,314,9,2
97,3083923.0,314,9,2
710,3084211.0,314,9,2
261,3085490.0,314,9,2
302,3090464.0,314,9,2
784,3154360.0,315,9,2
78,3160770.0,315,9,2
672,3161132.0,316,9,2
404,3164408.0,316,9,2
37,3168090.0,316,9,2
604,3203701.0,316,9,2
179,3206985.0,316,9,2
242,3210270.0,316,9,2
229,3213542.0,316,9,2
105,3222516.0,316,9,2
214,3225800.0,316,9,2
265,3236560.0,316,9,2
361,3239859.0,316,9,2
620,3239885.0,316,9,2
27,3415065.0,319,9,2
304,3425844.0,319,9,2
754,3501905.0,320,9,2
33,3504770.0,320,9,2
144,3508047.0,320,9,2
259,3511164.0,320,9,2
792,3640464.0,322,9,2
