test,cost,coverage,pastFaults, newFaults
3526,20.0,3,0,29
44,574.0,22,0,37
942,1284.0,29,0,38
3155,1304.0,29,0,41
414,1743.0,31,0,44
145,2650.0,34,0,51
3094,2670.0,34,0,51
3514,2690.0,34,0,71
2992,2710.0,34,0,71
92,3257.0,35,0,72
3925,3277.0,35,0,74
3887,3297.0,35,0,89
4124,3303.0,36,0,97
3055,3323.0,36,0,98
195,3874.0,38,0,99
3028,3894.0,38,1,99
3710,3914.0,38,1,99
3771,3934.0,38,1,101
4044,3954.0,38,1,101
3407,3974.0,38,1,101
3231,3994.0,38,1,101
2824,4350.0,39,1,101
3451,4370.0,39,1,101
4070,4390.0,39,1,104
250,4746.0,41,1,104
3848,4766.0,41,1,104
2793,5270.0,43,1,104
3746,5290.0,43,1,104
3837,5310.0,43,1,119
3326,5330.0,43,1,119
3439,5350.0,43,1,119
827,6349.0,44,1,119
3134,6369.0,44,1,119
1096,7035.0,45,1,119
3817,7055.0,45,1,119
3537,7075.0,45,1,119
3603,7095.0,45,1,119
3227,7115.0,45,1,119
3960,7135.0,45,1,119
3335,7155.0,45,1,119
3380,7175.0,45,1,119
3174,7195.0,45,4,119
4102,7201.0,45,4,119
78,7705.0,46,4,119
4011,7725.0,46,4,119
3258,7745.0,46,4,119
3083,7765.0,46,4,119
3543,7785.0,46,4,121
3550,7805.0,46,4,121
178,7915.0,46,4,121
3533,7935.0,46,4,121
3297,7955.0,46,4,132
4119,7961.0,46,4,132
3263,7981.0,46,4,132
3613,8001.0,46,4,132
3349,8021.0,46,4,132
3377,8041.0,46,4,132
4107,8047.0,46,4,132
3042,8067.0,46,4,132
3498,8087.0,46,4,132
3488,8107.0,46,4,132
4101,8113.0,46,4,132
4031,8133.0,46,4,132
3096,8153.0,46,4,132
4116,8159.0,46,4,132
3522,8179.0,46,4,132
3159,8199.0,46,4,132
3775,8219.0,46,4,132
3454,8239.0,46,4,132
4037,8259.0,46,4,132
1462,55302.0,47,4,151
2094,55634.0,47,4,151
2900,55910.0,47,4,151
2642,56238.0,47,4,151
4039,56258.0,47,4,151
3233,56278.0,47,4,151
1853,102647.0,47,4,151
1722,103556.0,47,4,151
2648,107301.0,47,4,151
3885,107321.0,47,4,151
3371,107341.0,47,4,151
2156,109565.0,47,4,151
895,110466.0,47,4,151
3359,110486.0,47,4,154
2329,113604.0,47,4,154
1188,113814.0,47,4,154
799,114586.0,47,4,154
2072,119770.0,47,4,154
236,120700.0,47,4,154
2220,122097.0,47,4,154
3103,122117.0,47,4,155
3820,122137.0,47,4,155
3424,122157.0,47,4,155
3562,122177.0,47,4,155
1834,123055.0,47,5,155
3450,123075.0,47,5,155
1118,123496.0,47,5,155
267,124057.0,47,5,155
2633,131167.0,47,5,156
855,131995.0,47,5,156
2339,141283.0,47,5,156
2701,142124.0,47,5,156
3108,142144.0,47,5,156
440,142654.0,47,5,156
2691,143653.0,47,5,156
1150,144199.0,47,5,156
2411,144579.0,47,5,156
2000,145568.0,47,5,156
2464,147326.0,47,5,156
2163,149183.0,47,5,156
1441,150397.0,47,5,156
3521,150417.0,47,5,156
153,151287.0,47,5,156
2956,154463.0,47,5,156
3785,154483.0,47,5,156
1763,155494.0,47,5,156
259,156227.0,47,5,156
3573,156247.0,47,5,156
1928,157421.0,47,5,156
2885,158326.0,47,5,156
3399,158346.0,47,5,156
2330,159561.0,47,5,156
439,160281.0,47,5,156
658,160844.0,47,5,156
3611,160864.0,47,5,156
2446,165536.0,47,5,156
1787,166369.0,47,5,156
2845,167008.0,47,5,156
3491,167028.0,47,5,156
1178,167734.0,47,5,156
2861,170174.0,47,5,156
2204,177628.0,47,5,156
2211,178440.0,47,5,156
593,178965.0,47,5,156
3793,178985.0,47,5,156
1041,179257.0,47,5,156
3762,179277.0,47,5,156
3138,179297.0,47,5,156
3012,179317.0,47,5,156
1611,180157.0,47,5,156
443,180381.0,47,5,156
1562,181283.0,47,5,156
2555,181840.0,47,5,156
2552,183710.0,47,6,156
3594,183730.0,47,6,156
1720,184438.0,47,6,156
727,185194.0,47,6,156
4021,185214.0,47,6,156
3365,185234.0,47,6,156
30,185916.0,47,6,156
2312,186485.0,47,6,156
4065,186505.0,47,6,156
612,187092.0,47,6,156
3734,187112.0,47,6,156
2759,190845.0,47,6,156
1455,191535.0,47,6,156
3857,191555.0,47,6,156
3116,191575.0,47,6,156
341,192857.0,47,6,156
245,193368.0,47,6,156
3410,193388.0,47,6,156
1862,194276.0,47,6,156
64,194786.0,47,6,156
4012,194806.0,47,6,156
1307,195016.0,47,6,156
3732,195036.0,47,6,157
1710,195852.0,47,6,157
2481,196738.0,47,6,157
2100,199470.0,47,6,157
3629,199490.0,47,6,157
1189,199950.0,47,6,157
3204,199970.0,47,6,157
2223,200585.0,47,6,157
3853,200605.0,47,6,157
2790,201635.0,47,7,157
1056,201841.0,47,7,157
1586,208736.0,47,7,157
2868,212469.0,47,7,157
2521,212906.0,47,7,157
1596,216102.0,47,7,157
1959,217733.0,47,7,157
1361,218159.0,47,7,157
3711,218179.0,47,7,157
2059,223120.0,47,7,157
2715,231710.0,47,7,157
3479,231730.0,47,7,157
3934,231750.0,47,7,157
10,232508.0,47,7,157
2800,233701.0,47,7,157
558,234219.0,47,7,157
2376,237618.0,47,7,157
2117,238260.0,47,7,157
3579,238280.0,47,7,157
2640,239963.0,47,7,157
2951,240539.0,47,7,157
2629,241673.0,47,7,157
350,241783.0,47,7,157
291,242264.0,47,7,157
1501,243350.0,47,7,157
2880,246652.0,47,7,157
3575,246672.0,47,7,158
2562,247948.0,47,7,158
1330,248320.0,47,7,158
39,248748.0,47,7,158
3288,248768.0,47,7,158
461,249801.0,47,7,158
2147,254750.0,47,7,158
