test,cost,coverage,pastFaults, newFaults
2596,78391.0,43,0,86
3173,78411.0,44,3,86
2785,105596.0,45,4,95
4108,105602.0,46,5,103
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
3173,112629.0,47,6,120
2785,112629.0,47,6,120
4108,112629.0,47,6,120
2925,112629.0,47,6,120
2596,112629.0,47,6,120
