test,cost,coverage,pastFaults,newFaults
1775,2840.0,23,3,8
2081,18703.0,40,3,30
2987,18723.0,41,4,30
3938,18743.0,41,4,32
4073,18763.0,41,4,34
2121,19009.0,41,4,34
1056,19215.0,41,4,34
2900,19491.0,41,4,34
1206,19697.0,41,4,34
3849,19717.0,41,4,48
3094,19737.0,41,4,48
3476,19757.0,41,4,48
3062,19777.0,41,4,48
3563,19797.0,41,4,48
3527,19817.0,41,4,52
3994,19837.0,41,4,52
3560,19857.0,41,4,52
3595,19877.0,41,4,52
3877,19897.0,41,4,52
3032,19917.0,41,4,74
3911,19937.0,41,4,74
3914,19957.0,41,4,75
3781,19977.0,41,4,75
3587,19997.0,41,4,75
3167,20017.0,41,4,75
3287,20037.0,41,4,94
3065,20057.0,41,4,95
3602,20077.0,41,4,95
2982,20097.0,41,4,95
2985,20117.0,41,4,112
3933,20137.0,41,4,112
3511,20157.0,41,4,112
3222,20177.0,41,4,113
3098,20197.0,41,4,113
3135,20217.0,41,4,113
2994,20237.0,41,4,113
3508,20257.0,41,4,113
2990,20277.0,41,4,113
3283,20297.0,41,4,113
4010,20317.0,41,4,113
2970,20337.0,41,4,113
4113,20343.0,42,4,121
3757,20363.0,42,4,121
3714,20383.0,42,4,121
3116,20403.0,42,4,121
3124,20423.0,42,4,121
3346,20443.0,42,4,121
4076,20463.0,42,4,121
3642,20483.0,42,4,121
3102,20503.0,42,4,123
3472,20523.0,42,4,123
3786,20543.0,42,4,123
3509,20563.0,42,4,126
3359,20583.0,42,4,129
3351,20603.0,42,4,137
3358,20623.0,42,4,156
3850,20643.0,42,4,156
3901,20663.0,42,4,156
4104,20669.0,42,4,156
3796,20689.0,42,4,156
3493,20709.0,42,4,157
3150,20729.0,42,4,157
3186,20749.0,42,4,170
3966,20769.0,42,4,170
3010,20789.0,42,4,170
2517,21041.0,42,4,170
3629,21061.0,42,4,170
3979,21081.0,42,4,170
3722,21101.0,42,4,170
3992,21121.0,42,4,170
3240,21141.0,42,4,170
3830,21161.0,42,4,170
3874,21181.0,42,4,170
3209,21201.0,42,4,170
4018,21221.0,42,4,170
3978,21241.0,42,4,170
3228,21261.0,42,4,170
3039,21281.0,42,4,170
3459,21301.0,42,4,170
4107,21307.0,42,4,170
3835,21327.0,42,4,170
3173,21347.0,42,6,170
2221,54362.0,46,6,170
3669,54382.0,46,6,170
3136,54402.0,46,6,170
3996,54422.0,46,6,170
1278,54647.0,46,6,170
3443,54667.0,46,6,170
3267,54687.0,46,6,170
3909,54707.0,46,6,170
3717,54727.0,46,6,170
3393,54747.0,46,6,170
3329,54767.0,46,6,170
3954,54787.0,46,6,170
3453,54807.0,46,6,170
2785,81992.0,47,6,170
1413,82216.0,47,6,170
2989,82236.0,47,6,170
4047,82256.0,47,6,171
3596,82276.0,47,6,171
3542,82296.0,47,6,171
3137,82316.0,47,6,171
4129,82322.0,47,6,171
3597,82342.0,47,6,171
221,82632.0,47,6,177
1256,83178.0,47,6,177
3749,83198.0,47,6,177
3293,83218.0,47,6,177
3285,83238.0,47,6,177
3703,83258.0,47,6,177
1280,83516.0,47,6,177
3521,83536.0,47,6,177
3005,83556.0,47,6,177
2991,83576.0,47,6,177
3505,83596.0,47,6,177
3153,83616.0,47,6,177
3991,83636.0,47,6,177
3419,83656.0,47,6,177
3818,83676.0,47,6,177
2478,84113.0,47,6,177
3007,84133.0,47,6,177
3368,84153.0,47,6,177
462,84263.0,47,6,177
4032,84283.0,47,6,177
3769,84303.0,47,6,177
3036,84323.0,47,6,177
1663,85263.0,47,6,177
3145,85283.0,47,6,177
3802,85303.0,47,6,177
3681,85323.0,47,6,177
615,85833.0,47,6,177
3683,85853.0,47,6,177
4041,85873.0,47,6,177
3325,85893.0,47,6,177
285,86509.0,47,6,177
3672,86529.0,47,6,177
3211,86549.0,47,6,177
3200,86569.0,47,6,177
3328,86589.0,47,6,177
4089,86609.0,47,6,177
1233,86897.0,47,6,177
3948,86917.0,47,6,177
3487,86937.0,47,6,177
3176,86957.0,47,6,177
3490,86977.0,47,6,177
3216,86997.0,47,6,177
2931,87304.0,47,6,177
4012,87324.0,47,6,177
3051,87344.0,47,6,177
3474,87364.0,47,6,177
3355,87384.0,47,6,177
3252,87404.0,47,6,177
3342,87424.0,47,6,177
2710,93555.0,47,6,177
1882,94020.0,47,6,177
1607,94566.0,47,6,177
3381,94586.0,47,6,177
2280,95168.0,47,6,177
4039,95188.0,47,6,177
3031,95208.0,47,6,177
378,95558.0,47,6,181
322,95884.0,47,6,181
3532,95904.0,47,6,181
3433,95924.0,47,6,182
480,96184.0,47,6,182
1358,96552.0,47,6,182
3904,96572.0,47,6,182
3811,96592.0,47,6,182
74,97077.0,47,6,182
1332,97397.0,47,6,182
3357,97417.0,47,6,182
1258,97720.0,47,6,182
123,98500.0,47,6,182
3315,98520.0,47,6,182
3132,98540.0,47,6,182
1123,98812.0,47,6,182
1370,99119.0,47,6,182
3253,99139.0,47,6,182
3296,99159.0,47,7,182
3561,99179.0,47,7,182
3213,99199.0,47,7,182
574,99309.0,47,7,182
3089,99329.0,47,7,183
3664,99349.0,47,7,183
3179,99369.0,47,7,183
3829,99389.0,47,7,183
3536,99409.0,47,7,183
2102,99832.0,47,7,183
3805,99852.0,47,7,183
3762,99872.0,47,7,183
3440,99892.0,47,7,183
3046,99912.0,47,7,183
3412,99932.0,47,7,183
3774,99952.0,47,7,183
2974,99972.0,47,7,183
3446,99992.0,47,7,183
3661,100012.0,47,7,183
3807,100032.0,47,7,183
4068,100052.0,47,7,183
2557,100660.0,47,7,183
163,101046.0,47,7,183
1366,101156.0,47,7,183
3524,101176.0,47,7,183
3648,101196.0,47,7,183
3434,101216.0,47,7,183
3250,101236.0,47,7,183
3541,101256.0,47,7,183
3156,101276.0,47,7,183
1249,101534.0,47,7,183
3056,101554.0,47,7,183
4092,101574.0,47,7,183
4054,101594.0,47,7,183
518,101884.0,47,7,183
1135,102191.0,47,7,183
3526,102211.0,47,7,183
2925,109238.0,47,7,183
4111,109244.0,47,7,183
1077,109502.0,47,7,183
3396,109522.0,47,7,183
1002,110268.0,47,7,183
3552,110288.0,47,7,183
1092,110528.0,47,7,183
2966,110548.0,47,7,183
3467,110568.0,47,7,183
1361,110994.0,47,7,183
3041,111014.0,47,7,183
2384,113920.0,47,7,183
3218,113940.0,47,7,183
39,114368.0,47,7,183
3093,114388.0,47,7,183
1398,114854.0,47,7,183
124,115439.0,47,7,183
3566,115459.0,47,7,183
3789,115479.0,47,7,183
47,115928.0,47,7,183
1373,116134.0,47,7,183
