test,cost,coverage,pastFaults, newFaults
2178,48326.0,49,0,70
627,51334.0,53,0,198
2955,51356.0,54,0,198
4085,51364.0,55,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
627,52647.0,56,0,198
2955,52647.0,56,0,198
4085,52647.0,56,0,198
1022,52647.0,56,0,198
2178,52647.0,56,0,198
