test,cost,coverage,pastFaults, newFaults
4096,8.0,2,0,99
1383,1396.0,17,4,124
3305,1418.0,18,5,127
297,4122.0,36,5,196
2871,7359.0,45,6,196
1682,10362.0,52,7,196
2375,18639.0,56,7,198
2478,20123.0,56,7,198
2910,21406.0,56,7,198
3404,21428.0,56,7,198
3847,21450.0,56,7,198
1799,24746.0,56,7,198
106,26772.0,56,7,198
2445,39491.0,56,7,198
3565,39513.0,56,7,198
1932,41860.0,56,7,198
2835,52235.0,56,7,198
3062,52257.0,56,7,198
2929,56959.0,56,7,198
2815,59994.0,56,7,198
1241,61502.0,56,7,198
1663,65146.0,56,7,198
2920,67784.0,56,7,198
2071,69880.0,56,9,198
1340,71098.0,56,9,198
1916,75713.0,56,9,198
2933,79369.0,56,9,198
3058,79391.0,56,9,198
736,82282.0,56,9,198
2045,83362.0,56,9,198
1088,84517.0,56,9,198
899,87745.0,56,9,198
3983,87767.0,56,9,198
1042,88828.0,56,9,198
2308,92171.0,56,9,198
3433,92193.0,56,9,198
3819,92215.0,56,9,198
4105,92223.0,56,9,198
3411,92245.0,56,9,198
1153,93521.0,56,9,198
2586,95283.0,56,9,198
2843,97811.0,56,9,198
1448,119451.0,56,9,198
2942,125414.0,56,9,198
1276,126477.0,56,9,198
81,127944.0,56,9,198
1438,139378.0,56,10,198
2452,142411.0,56,10,198
4090,142419.0,56,10,198
1083,142921.0,56,10,198
1145,144205.0,56,10,198
877,147829.0,56,10,198
3535,147851.0,56,10,198
3627,147873.0,56,10,198
912,151037.0,56,10,198
3375,151059.0,56,10,198
671,154447.0,56,10,198
1586,157288.0,56,10,198
3997,157310.0,56,10,198
3782,157332.0,56,10,198
811,160817.0,56,10,198
3511,160839.0,56,10,198
2460,169823.0,56,10,198
1820,173212.0,56,10,198
276,174656.0,56,10,198
4027,174678.0,56,10,198
1192,175996.0,56,10,198
3350,176018.0,56,10,198
3804,176040.0,56,10,198
2687,177149.0,56,10,198
200,178980.0,56,10,198
749,182112.0,56,10,198
1089,183222.0,56,10,198
3711,183244.0,56,10,198
447,184607.0,56,10,198
2353,197595.0,56,10,198
3317,197617.0,56,10,198
1085,198887.0,56,10,198
1858,202284.0,56,10,198
3009,202306.0,56,10,198
2364,204363.0,56,10,198
85,205882.0,56,10,200
