test,cost,coverage,pastFaults,newFaults
2420,5977.0,26,6,19
203,8197.0,36,6,61
3368,8219.0,37,6,61
1311,9502.0,38,7,87
976,12182.0,42,7,198
2577,13300.0,46,7,198
511,15506.0,48,7,198
3813,15528.0,48,7,198
4073,15550.0,48,7,198
3210,15572.0,48,7,198
3412,15594.0,48,7,198
3547,15616.0,48,7,198
3088,15638.0,48,7,198
1512,19345.0,51,7,198
2897,33329.0,54,7,198
3818,33351.0,54,7,198
3424,33373.0,54,7,198
2699,44755.0,55,7,198
4067,44777.0,55,7,198
1122,45726.0,55,7,198
4088,45734.0,56,7,198
1241,47242.0,56,7,198
2171,55722.0,56,7,198
3942,55744.0,56,7,198
179,56246.0,56,7,198
3263,56268.0,56,7,198
2579,57330.0,56,7,198
1931,60927.0,56,7,198
3389,60949.0,56,7,198
1172,62135.0,56,7,198
1234,63084.0,56,7,198
13,64655.0,56,7,198
363,65943.0,56,7,198
1363,67156.0,56,7,198
1160,68334.0,56,7,198
2994,68356.0,56,7,198
2132,69691.0,56,7,198
2358,75442.0,56,7,198
0,77252.0,56,7,198
703,79962.0,56,7,198
403,81921.0,56,9,198
3632,81943.0,56,9,198
2098,90671.0,56,9,198
989,93346.0,56,9,198
731,95783.0,56,9,198
1056,96285.0,56,9,198
1038,96787.0,56,9,198
271,98046.0,56,9,198
1868,100532.0,56,9,198
1838,104133.0,56,9,198
3741,104155.0,56,9,198
2696,108406.0,56,9,198
2744,113920.0,56,9,198
2330,123243.0,56,9,198
3167,123265.0,56,9,198
426,125039.0,56,9,198
3078,125061.0,56,9,198
4021,125083.0,56,9,198
446,126134.0,56,9,198
2370,128056.0,56,9,198
2571,129294.0,56,9,198
2521,132854.0,56,9,198
1741,135716.0,56,9,198
1525,138701.0,56,9,198
701,141015.0,56,9,198
2540,146075.0,56,9,198
1513,149108.0,56,9,198
1282,150326.0,56,9,198
3956,150348.0,56,9,198
1358,151596.0,56,9,198
385,153628.0,56,9,198
2349,155289.0,56,9,198
2908,160826.0,56,9,198
2061,176091.0,56,9,198
3918,176113.0,56,9,198
3168,176135.0,56,9,198
605,177685.0,56,9,198
391,180181.0,56,9,198
2128,181674.0,56,9,198
313,182725.0,56,9,198
1142,183846.0,56,9,198
210,185573.0,56,9,198
2401,192420.0,56,9,198
3863,192442.0,56,9,198
686,196106.0,56,9,198
338,197937.0,56,9,198
878,200809.0,56,9,198
2508,214600.0,56,9,198
2924,226013.0,56,9,198
3045,226035.0,56,9,198
3261,226057.0,56,9,198
2702,230689.0,56,9,198
1067,231844.0,56,9,198
23,233972.0,56,9,198
1059,234927.0,56,9,198
3255,234949.0,56,9,198
2029,239574.0,56,9,198
2399,240771.0,56,9,198
2646,241891.0,56,9,198
3785,241913.0,56,9,198
2693,243927.0,56,9,198
834,247774.0,56,9,198
3364,247796.0,56,9,198
3589,247818.0,56,9,198
1890,249437.0,56,9,198
3726,249459.0,56,9,198
260,250955.0,56,9,198
1705,255120.0,56,9,198
220,256624.0,56,9,198
3604,256646.0,56,9,198
1567,258946.0,56,9,198
2323,271837.0,56,9,198
3053,271859.0,56,9,198
2191,276791.0,56,9,198
3745,276813.0,56,9,198
3931,276835.0,56,9,198
2266,282364.0,56,9,198
3182,282386.0,56,9,198
1561,285259.0,56,9,198
2883,287702.0,56,10,198
2031,300035.0,56,10,198
1369,301087.0,56,10,198
2692,303201.0,56,10,198
1582,306269.0,56,10,198
2081,323143.0,56,10,198
2797,324375.0,56,10,198
2504,325492.0,56,10,198
1709,328341.0,56,10,198
3658,328363.0,56,10,198
2348,331636.0,56,10,198
795,333874.0,56,10,198
608,335497.0,56,10,198
664,338357.0,56,10,198
1040,339336.0,56,10,198
4012,339358.0,56,10,198
1004,341355.0,56,10,198
39,342614.0,56,10,200
383,343665.0,56,10,200
3682,343687.0,56,10,200
281,345347.0,56,10,200
3601,345369.0,56,10,200
1972,348217.0,56,10,200
2868,350162.0,56,10,200
