test,cost,coverage,pastFaults, newFaults
5,29.0,38,2,1
17,83.0,48,2,1
29,1945.0,101,3,2
245,1982.0,112,3,2
98,2063.0,117,3,3
109,3089.0,133,3,3
4,3139.0,135,3,4
202,6670.0,151,3,4
11,6672.0,151,3,4
157,8498.0,156,3,5
31,8531.0,157,3,5
338,8727.0,160,3,5
168,8818.0,160,3,5
32,8821.0,161,3,5
281,8865.0,161,3,5
298,8969.0,162,3,5
161,10513.0,171,3,5
38,10540.0,173,3,5
129,12273.0,177,3,5
3,12275.0,178,3,5
179,12465.0,178,3,5
33,14275.0,179,3,5
1,14325.0,179,3,5
277,17332.0,187,4,5
339,19597.0,188,4,5
2,19599.0,188,4,5
250,19626.0,188,4,5
14,19659.0,190,4,5
299,19750.0,190,4,5
10,19754.0,190,4,5
342,21493.0,193,4,5
23,24869.0,200,4,5
30,28445.0,203,4,6
318,30184.0,206,4,6
18,31923.0,206,4,6
262,31967.0,206,4,6
334,32017.0,206,4,6
224,33756.0,208,4,6
22,37132.0,210,4,6
249,37159.0,210,4,6
25,40640.0,211,4,6
13,40642.0,211,4,6
20,42381.0,212,4,6
251,44120.0,212,4,6
104,44442.0,212,4,6
9,44475.0,212,4,6
234,46214.0,212,4,6
7,46247.0,212,4,6
68,46670.0,212,4,6
271,47696.0,213,4,6
139,51219.0,214,4,6
291,52929.0,214,4,6
352,52982.0,214,4,6
280,53026.0,214,4,6
264,54773.0,214,4,6
333,56506.0,214,4,6
107,56812.0,214,4,6
211,58777.0,214,4,6
59,60506.0,214,4,6
105,60812.0,214,4,6
70,61235.0,214,4,6
27,66794.0,215,4,6
263,66838.0,215,4,6
259,68335.0,215,4,6
358,70074.0,215,4,6
94,71952.0,215,4,6
345,73691.0,215,4,6
130,75430.0,215,4,6
289,77140.0,215,4,6
238,78879.0,215,4,6
26,86002.0,216,4,6
79,87596.0,216,4,6
265,89343.0,216,4,6
36,91134.0,216,4,6
132,91200.0,216,4,6
293,93091.0,216,4,6
174,94830.0,216,4,6
328,96668.0,216,4,6
357,96701.0,216,4,6
154,144888.0,216,4,6
151,221633.0,216,4,6
88,223372.0,216,4,6
305,226154.0,216,4,6
317,226204.0,216,4,6
89,227937.0,216,4,6
221,229326.0,216,4,6
282,231073.0,216,4,6
85,232851.0,216,4,6
349,234590.0,216,4,6
330,236329.0,216,4,6
159,238155.0,216,4,6
56,241545.0,216,4,6
83,243139.0,216,4,6
254,246622.0,216,4,6
37,246649.0,216,4,6
52,249626.0,216,4,6
165,251359.0,216,4,6
50,253098.0,216,4,6
117,301285.0,216,4,6
208,303024.0,216,4,6
255,306507.0,216,4,6
325,308250.0,216,4,6
55,311202.0,216,4,6
344,312941.0,216,4,6
158,314767.0,216,4,6
102,316531.0,216,4,6
183,318314.0,216,4,6
228,320053.0,216,4,6
193,321879.0,216,4,6
135,322204.0,216,4,6
197,323748.0,216,4,6
215,325651.0,216,4,6
148,344299.0,216,4,6
80,346038.0,216,4,6
337,347748.0,216,4,6
302,350530.0,216,4,6
196,352269.0,216,4,6
284,353897.0,216,4,6
164,355636.0,216,4,6
236,357375.0,216,4,6
247,358886.0,216,4,6
354,360625.0,216,4,6
199,362590.0,216,4,6
103,364381.0,216,4,6
341,366120.0,216,4,6
275,368436.0,216,4,6
231,370175.0,216,4,6
203,373770.0,216,4,6
307,375513.0,216,4,6
170,375604.0,216,4,6
137,379123.0,216,4,6
252,380862.0,216,4,6
343,382601.0,216,4,6
243,384332.0,216,4,6
257,386648.0,216,4,6
258,388387.0,216,4,6
256,390703.0,216,4,6
136,394226.0,216,4,6
279,396051.0,216,4,6
47,397789.0,216,4,6
169,397880.0,216,4,6
185,493681.0,216,4,6
269,494593.0,216,4,6
150,513241.0,216,4,6
41,514785.0,216,4,6
24,518161.0,216,4,6
171,518252.0,216,4,6
180,520035.0,216,4,6
240,520116.0,216,4,6
303,523417.0,216,4,6
296,526981.0,216,4,6
210,528765.0,216,4,6
190,576952.0,216,4,6
143,577612.0,216,4,6
153,626081.0,216,4,6
141,626460.0,216,4,6
178,626641.0,216,4,6
316,626691.0,216,4,6
96,626772.0,216,4,6
235,628316.0,216,4,6
261,629228.0,216,4,6
113,677415.0,216,4,6
78,679154.0,216,4,6
309,727623.0,216,4,6
222,729362.0,216,4,6
146,731101.0,216,4,6
329,732927.0,216,4,6
71,733334.0,216,4,6
212,734145.0,216,4,6
77,737120.0,216,4,6
120,740572.0,216,4,6
219,742580.0,216,4,6
87,744316.0,216,4,6
126,747839.0,216,4,6
19,749423.0,216,4,6
270,751162.0,216,4,6
12,751212.0,216,4,6
351,752951.0,216,4,6
286,754690.0,216,4,6
253,756429.0,216,4,6
186,775077.0,216,4,6
162,776816.0,216,4,6
233,778360.0,216,4,6
175,780070.0,216,4,6
229,781809.0,216,4,6
225,782771.0,216,4,6
230,784510.0,216,4,6
324,786249.0,216,4,6
184,804897.0,216,4,6
28,806715.0,216,4,6
54,809547.0,216,4,6
122,812999.0,216,4,6
292,814890.0,216,4,6
323,816673.0,216,4,6
74,818412.0,216,4,6
232,820151.0,216,4,6
218,821939.0,216,4,6
315,823672.0,216,4,6
188,872141.0,216,4,6
15,873898.0,216,4,6
0,873948.0,216,4,6
213,875851.0,216,4,6
201,879446.0,216,4,6
61,879496.0,216,4,6
288,882916.0,216,4,6
76,885891.0,216,4,6
331,887435.0,216,4,6
306,889178.0,216,4,6
226,890917.0,216,4,6
205,891159.0,216,4,6
81,892753.0,216,4,6
332,894492.0,216,4,6
176,894673.0,216,4,6
67,896437.0,216,4,6
48,898176.0,216,4,6
283,899949.0,216,4,6
82,901688.0,216,4,6
90,903427.0,216,4,6
244,903464.0,216,4,6
321,903654.0,216,4,6
336,905393.0,216,4,6
276,907132.0,216,4,6
86,908910.0,216,4,6
149,985655.0,216,4,6
267,986307.0,216,4,6
340,988046.0,216,4,6
127,991569.0,216,4,6
112,1039756.0,216,4,6
355,1041300.0,216,4,6
