test,cost,coverage,pastFaults, newFaults
30,3576.0,92,2,2
185,99377.0,130,3,4
202,102908.0,140,3,4
259,104405.0,159,4,4
20,106144.0,166,4,4
23,109520.0,173,4,4
205,109762.0,178,4,4
314,111501.0,181,4,4
48,113240.0,183,4,5
5,113269.0,187,4,5
162,115008.0,190,4,5
25,118489.0,192,4,5
347,120228.0,195,4,5
32,120231.0,196,4,5
33,122041.0,197,4,5
224,123780.0,199,4,5
288,127200.0,201,4,5
277,130207.0,203,4,5
0,130257.0,205,4,6
17,130311.0,207,4,6
27,135870.0,208,4,6
22,139246.0,209,4,6
271,140272.0,210,4,6
2,140274.0,211,4,6
26,147397.0,212,4,6
29,149259.0,213,4,6
136,152782.0,214,4,6
37,152809.0,215,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
347,152842.0,216,4,6
32,152842.0,216,4,6
33,152842.0,216,4,6
224,152842.0,216,4,6
288,152842.0,216,4,6
277,152842.0,216,4,6
0,152842.0,216,4,6
17,152842.0,216,4,6
27,152842.0,216,4,6
22,152842.0,216,4,6
271,152842.0,216,4,6
2,152842.0,216,4,6
26,152842.0,216,4,6
29,152842.0,216,4,6
136,152842.0,216,4,6
37,152842.0,216,4,6
14,152842.0,216,4,6
30,152842.0,216,4,6
185,152842.0,216,4,6
202,152842.0,216,4,6
259,152842.0,216,4,6
20,152842.0,216,4,6
23,152842.0,216,4,6
205,152842.0,216,4,6
314,152842.0,216,4,6
48,152842.0,216,4,6
5,152842.0,216,4,6
162,152842.0,216,4,6
25,152842.0,216,4,6
