test,cost,coverage,pastFaults,newFaults
198,1739.0,100,3,1
261,2651.0,116,3,1
164,4390.0,138,3,3
12,4440.0,145,3,3
26,11563.0,152,3,4
111,12589.0,158,3,4
239,13501.0,158,3,4
303,16802.0,165,4,4
298,16906.0,168,4,4
29,18768.0,171,4,4
99,18849.0,171,4,4
280,18893.0,171,4,4
171,18984.0,171,4,4
245,19021.0,171,4,4
202,22552.0,175,4,4
306,24295.0,175,4,4
14,24328.0,178,4,4
347,26067.0,182,4,4
20,27806.0,185,4,4
325,29549.0,185,4,4
1,29599.0,186,4,5
161,31143.0,187,4,5
310,32969.0,188,4,6
352,33022.0,188,4,6
3,33024.0,189,4,6
9,33057.0,189,4,6
331,34601.0,189,4,6
38,34628.0,190,4,6
61,34678.0,190,4,6
4,34728.0,190,4,6
31,34761.0,190,4,6
170,34852.0,190,4,6
96,34933.0,190,4,6
6,34999.0,190,4,6
250,35026.0,190,4,6
11,35028.0,190,4,6
23,38404.0,196,4,6
249,38431.0,196,4,6
197,39975.0,196,4,6
17,40029.0,197,4,6
2,40031.0,197,4,6
25,43512.0,199,4,6
317,43562.0,199,4,6
144,45301.0,199,4,6
324,47040.0,200,4,6
351,48779.0,201,4,6
30,52355.0,202,4,6
0,52405.0,202,4,6
308,100874.0,205,4,6
32,100877.0,206,4,6
356,101003.0,206,4,6
50,102742.0,206,4,6
24,106118.0,207,4,6
106,106440.0,207,4,6
176,106621.0,207,4,6
13,106623.0,207,4,6
291,108333.0,207,4,6
357,108366.0,207,4,6
160,110105.0,207,4,6
271,111131.0,209,4,6
134,111456.0,209,4,6
313,113000.0,209,4,6
246,114739.0,210,4,6
334,114789.0,210,4,6
70,115212.0,210,4,6
133,115398.0,210,5,6
237,116310.0,210,5,6
60,116374.0,210,5,6
321,116564.0,210,5,6
212,117375.0,210,5,6
16,119114.0,210,5,6
136,122637.0,211,5,6
232,124376.0,211,5,6
37,124403.0,211,5,6
204,124452.0,211,5,6
18,126191.0,211,5,6
240,126272.0,211,5,6
107,126578.0,211,5,6
305,129360.0,211,5,6
10,129364.0,212,5,6
229,131103.0,213,5,6
135,131428.0,213,5,6
238,133167.0,213,5,6
27,138726.0,214,5,6
35,161080.0,215,5,6
159,162906.0,215,5,6
205,163148.0,215,5,6
39,164887.0,215,5,6
264,166634.0,215,5,6
314,168373.0,215,5,6
277,171380.0,216,5,6
62,171430.0,216,5,6
214,173333.0,216,5,6
290,175072.0,216,5,6
233,176616.0,216,5,6
319,178326.0,216,5,6
289,180036.0,216,5,6
301,183222.0,216,5,6
278,184961.0,216,5,6
63,185011.0,216,5,6
279,186836.0,216,5,6
342,188575.0,216,5,6
228,190314.0,216,5,6
194,192140.0,216,5,6
82,193879.0,216,5,6
157,195705.0,216,5,6
139,199228.0,216,5,6
42,200967.0,216,5,6
125,204490.0,216,5,6
234,206229.0,216,5,6
188,254698.0,216,5,6
21,258074.0,216,5,6
112,306261.0,216,5,6
58,309651.0,216,5,6
288,313071.0,216,5,6
130,314810.0,216,5,6
169,314901.0,216,5,6
40,316640.0,216,5,6
123,320092.0,216,5,6
155,368561.0,216,5,6
226,370300.0,216,5,6
34,375367.0,216,5,6
127,378890.0,216,5,6
109,379916.0,216,5,6
81,381510.0,216,5,6
200,385041.0,216,5,6
189,439741.0,216,5,6
166,441480.0,216,5,6
287,443420.0,216,5,6
132,443486.0,216,5,6
292,445377.0,216,5,6
333,447110.0,216,5,6
358,448849.0,216,5,6
337,450559.0,216,5,6
323,452342.0,216,5,6
299,452433.0,216,5,6
344,454172.0,216,5,6
121,457624.0,216,5,6
128,459363.0,216,5,6
119,507550.0,216,5,6
235,509094.0,216,5,6
129,510827.0,216,5,6
185,606628.0,216,5,6
184,625276.0,216,5,6
262,625320.0,216,5,6
206,625580.0,216,5,6
55,628532.0,216,5,6
48,630271.0,216,5,6
263,630315.0,216,5,6
104,630637.0,216,5,6
208,632376.0,216,5,6
98,632457.0,216,5,6
223,634141.0,216,5,6
269,635053.0,216,5,6
141,635432.0,216,5,6
328,637270.0,216,5,6
222,639009.0,216,5,6
236,640748.0,216,5,6
91,642481.0,216,5,6
69,642888.0,216,5,6
44,644627.0,216,5,6
209,646475.0,216,5,6
210,648259.0,216,5,6
282,650006.0,216,5,6
49,746525.0,216,5,6
354,748264.0,216,5,6
320,748460.0,216,5,6
265,750207.0,216,5,6
54,753039.0,216,5,6
272,756522.0,216,5,6
284,758150.0,216,5,6
251,759889.0,216,5,6
248,761680.0,216,5,6
186,780328.0,216,5,6
335,780378.0,216,5,6
148,799026.0,216,5,6
322,800809.0,216,5,6
116,848996.0,216,5,6
283,850769.0,216,5,6
311,852595.0,216,5,6
252,854334.0,216,5,6
286,856073.0,216,5,6
178,856254.0,216,5,6
175,857964.0,216,5,6
124,861487.0,216,5,6
67,863251.0,216,5,6
152,911438.0,216,5,6
101,913229.0,216,5,6
276,914968.0,216,5,6
137,918487.0,216,5,6
349,920226.0,216,5,6
75,921770.0,216,5,6
275,924086.0,216,5,6
274,925956.0,216,5,6
28,927774.0,216,5,6
293,929665.0,216,5,6
326,978134.0,216,5,6
187,1054879.0,216,5,6
183,1056662.0,216,5,6
300,1059828.0,216,5,6
15,1061585.0,216,5,6
255,1065068.0,216,5,6
231,1066807.0,216,5,6
247,1068318.0,216,5,6
126,1071841.0,216,5,6
51,1164705.0,216,5,6
312,1166444.0,216,5,6
153,1214913.0,216,5,6
56,1218303.0,216,5,6
158,1220129.0,216,5,6
340,1221868.0,216,5,6
296,1225432.0,216,5,6
66,1227196.0,216,5,6
76,1230171.0,216,5,6
